titlu,zona,pret
"Apartament cu 3 camere, zona strazii Urusagului!","Cluj (judet), Floresti",300 €/luna
Apartament orientare Sudicã. Parcare,"Cluj (judet), Dambul Rotund",399 €/luna
"Inchiriere Apartament 3 camere, 80 mp, zona centrala, Cluj City Center","Cluj (judet), Gheorgheni",800 €/luna
"Apartament 3 camere finisat si mobilat Lux , compelx Platinia","Cluj (judet), Centrul Vechi",1300 €/luna
Apartament de inchiriat 2 camere| Buna Ziua,"Cluj (judet), Gheorgheni",420 €/luna
Apartament cu 3 camere zona Ion Mester,"Cluj (judet), Cluj-Napoca",450 €/luna
Apartament 2 camere lux in zona Parcul Central,"Cluj (judet), Plopilor",550 €/luna
"Apartament situat semicentral, pet friendly","Cluj (judet), Cluj-Napoca",330 €/luna
Apartament Untold 2 camere,"Cluj (judet), Cluj-Napoca",4.900 RON/luna
Apartament semidecomandat+ balcon si parcare- Intre Lacuri,"Cluj (judet), Intre Lacuri",675 €/luna
Apartament 4 camere zona ultracentrala,"Cluj (judet), Cluj-Napoca",1700 €/luna
Apartament cu 2 camere pe strada Mehedinti,"Cluj (judet), Manastur",320 €/luna
Apartament cu 2 camere Dorobantilor,"Cluj (judet), Marasti",350 €/luna
Apartament cu 2 camere in bloc nou in zona Soporului!,"Cluj (judet), Colonia Sopor",625 €/luna
"Apartament 3 camere, finisat modern in C-tie noua, parcare inclusa, zo","Cluj (judet), Cluj-Napoca",650 €/luna
"Pet friendly! Apartament 3 camere, Manastur, zona Bucium+Parcare","Cluj (judet), Strada Johannes Gutenberg",600 €/luna
"Pet friendly! Apartament 3 camere, Grigorescu, zona Donath Park+Garaj","Cluj (judet), Strada Donath",649 €/luna
"Apartament 2 camere, Ultracentral, zona Parcul Central si UMF+Garaj","Cluj (judet), Strada Mihai Eminescu",900 €/luna
"Garsoniera finisata modern, 28mp, zona Iulius Mall!","Cluj (judet), Gheorgheni",260 €/luna
"Apartament de lux, 2 camere, 67 mp, Scala Center + Garaj si Boxa","Cluj (judet), Strada Somesului",699 €/luna
Caut coleg/ã în apartament 3 camere,"Cluj (judet), Cluj-Napoca",750 RON/luna
"Apartament 2 camere, finisat modern, 50mp, zona Complex Mercur!","Cluj (judet), Gheorgheni",350 €/luna
"Pet friendly! Apartament 2 camere, Manastur-Floresti,  VIVO+Parcare","Cluj (judet), Strada Razoare",404 €/luna
"Apartament 3 camere, finisat modern, 54mp, zona strazii Paris!","Cluj (judet), Marasti",620 €/luna
"Pet friendly! Apartament 2 camere decomandate, Borhanci","Cluj (judet), Strada Alexandru Rosca",430 €/luna
Apartament cu 2 camere de inchiriat in Gheorgheni,"Cluj (judet), Buna Ziua",350 €/luna
Inchiriez ap 3 camere Marasti,"Cluj (judet), Cluj-Napoca",550 €/luna
"Nou! Apartament 2 camere decomandate, Zorilor, Spitalul de Recuperare","Cluj (judet), Strada Lunii",490 €/luna
"View! Apartament 2 camere, Zorilor, zona UMF","Cluj (judet), Strada Luis Pasteur",500 €/luna
"1 Iulie! Apartament 2 camere, Semicentral, zona NTT Data+Garaj","Cluj (judet), Strada Constanta",500 €/luna
"Apartament 1 camera, finisat modern, 32mp, zona Piata Flora!","Cluj (judet), Manastur",290 €/luna
"Pet friendly! Apartament 3 camere, Buna Ziua, zona Audi+Parcare","Cluj (judet), Strada Pakei Lajos",500 €/luna
"Apartament modern 2 camere decomandate, Manastur, zona BIG si USAMV","Cluj (judet), Strada Izlazului",500 €/luna
"Apartament 1 camera, finisat modern, 45mp, zona Calvaria!","Cluj (judet), Manastur",400 €/luna
"Apartament modern 3 camere, Intre lacuri, zona Leroy Merlin+Garaj","Cluj (judet), Strada Nirajului",550 €/luna
"Apartament modern 2 camere, Buna Ziua, zona LIDL+Garaj","Cluj (judet), Strada Trifoiului",550 €/luna
"Apartament cu 3 camere confort sporit, in Grigorescu","Cluj (judet), Grigorescu",550 €/luna
Apartament 2 camere in cartier Plopilor priveliste deosebita,"Cluj (judet), Cluj-Napoca",550 €/luna
"Garsoniera finisata modern, 25mp, zona Complex Minerva!","Cluj (judet), Manastur",300 €/luna
